preferredLabel;description
manage musical staff;Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.
supervise correctional procedures;Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facilitys efficiency and safety.
apply anti-oppressive practices;Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests.
control compliance of railway vehicles regulations;Inspect rolling stock, components and systems to ensure compliance with standards and specifications.
identify available services;Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them.
perform toxicological studies;Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.
ensure coquille uniformity;"Oversee uniformity of coquilles; use casting equipment and tools such as welding machines."
Haskell;The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.
show initiative;Be proactive and take the first step in an action without waiting for what others say or do.
train staff to reduce food waste;Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.
apply diplomatic principles;Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home governments interests, and facilitating compromise.
lead police investigations;Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff.
handle fish harvesting waste;Dispose of waste, blood and inferior quality fish according to site waste management procedures.
develop energy saving concepts;Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.
perform street interventions in social work;Conduct outreach activities by providing direct information or counselling services to individuals in their neighbourhood or in the streets, usually targeted at youth or homeless people.
work with soloists;Communicate with solo artists and concert masters to discuss and prepare for performances.
sport and exercise medicine;Prevention and treatement of injuries or conditions resulted from a physical activity or sport.
conduct research on flora;Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.
install heat pump;Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.
design biomass installations;Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.
handle equipment while suspended;Safely operate hand equipment while suspended on a rope. Take on a secure and stable position before starting the operation. After finishing, store the equipment safely, usually by attaching it to a belt buckle.
teach housekeeping skills;Teach housekeeping as well as manual skills aiming to improve everyday tasks and life circumstances.
check train engines;Ensure that train engines comply with regulations before commencing a journey.
influence public policies;Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
enterprise risk management;A plan-based business strategy that aims to identify, assess, and prepare for any dangers, hazards, and other potentials for disaster, both physical and figurative, that may interfere with an organizations operations and objectives.
manufacture ingredients;Manufacture ingredients such as spices, additives and vegetables.
maintain aquaculture ponds;Clean equipment and treatment tools. Drain and clean aquaculture ponds using brushes, chemicals, and water. Prepare holding containers for fish and change the nets. Conduct swimthroughs. Stock fish in holding units. Collect dead fish in holding units.
apply credit risk policy;Implement company policies and procedures in the credit risk management process. Permanently keep companys credit risk at a manageable level and take measures to avoid credit failure.
handle customer requests related to cargo;Handle requests of port users and customers in the field of containers, shipping arrangements or cargo.
utilise advanced clinical skills;Utilise advanced clinical skills in specific contexts, following specific training, in order to address the client`s needs.
draft scientific or academic papers and technical documentation;Draft and edit scientific, academic or technical texts on different subjects.
Incremental development;The incremental development model is a methodology to design software systems and applications.
use of special equipment for daily activities;The types of special equipment, prosthetics and orthotics used to aid with performing daily activities, such as wheelchairs.
sawing techniques;Various sawing techniques for using manual as well as electric saws.
produce guitar components;Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge.
operate agricultural machinery;Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment.
control pyrotechnics stock;Check the expiration period of the stock in order to remove the already expired pyrotechnics. Place them into special metal containers for further processing.
guarantee customer satisfaction;Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty.
manufacture wearing apparel products;Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets.
cure tobacco leaves;Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing.
develop a rehabilitation programme;Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.
